t, X(t)
2.245342, -0.695416
2.251632, -0.685817
2.257921, -0.676030
2.264211, -0.666057
2.270500, -0.655899
2.276790, -0.645559
2.283079, -0.635037
2.289369, -0.624336
2.295658, -0.613457
2.301948, -0.602401
2.308237, -0.591171
2.314527, -0.579769
2.320816, -0.568195
2.327106, -0.556453
2.333395, -0.544543
2.339685, -0.532469
2.345974, -0.520230
2.352264, -0.507831
2.358553, -0.495272
2.364843, -0.482555
2.371132, -0.469683
2.377421, -0.456658
2.383711, -0.443481
2.390000, -0.430155
2.396290, -0.416682
2.402579, -0.403063
2.408869, -0.389302
2.415158, -0.375400
2.421448, -0.361360
2.427737, -0.347183
2.434027, -0.332872
2.440316, -0.318430
2.446606, -0.303858
2.452895, -0.289158
2.459185, -0.274334
2.465474, -0.259387
2.471764, -0.244321
2.478053, -0.229136
2.484343, -0.213836
2.490632, -0.198423
2.496921, -0.182900
2.503211, -0.167268
2.509500, -0.151531
2.515790, -0.135691
2.522079, -0.119751
2.528369, -0.103712
2.534658, -0.087577
2.540948, -0.071350
2.547237, -0.055033
2.553527, -0.038627
2.559816, -0.022136
2.566106, -0.005563
2.572395, 0.011090
2.578685, 0.027821
2.584974, 0.044626
2.591264, 0.061504
2.597553, 0.078451
2.603843, 0.095464
2.610132, 0.112542
2.616422, 0.129681
2.622711, 0.146878
2.629000, 0.164131
2.635290, 0.181438
2.641579, 0.198795
2.647869, 0.216199
2.654158, 0.233649
2.660448, 0.251140
2.666737, 0.268671
2.673027, 0.286239
2.679316, 0.303840
2.685606, 0.321473
2.691895, 0.339133
2.698185, 0.356819
2.704474, 0.374528
2.710764, 0.392257
2.717053, 0.410002
2.723343, 0.427762
2.729632, 0.445534
2.735922, 0.463314
2.742211, 0.481099
2.748500, 0.498888
2.754790, 0.516677
2.761079, 0.534463
2.767369, 0.552244
2.773658, 0.570017
2.779948, 0.587778
2.786237, 0.605526
2.792527, 0.623257
2.798816, 0.640968
2.805106, 0.658657
2.811395, 0.676321
2.817685, 0.693957
2.823974, 0.711563
2.830264, 0.729135
2.836553, 0.746670
2.842843, 0.764167
2.849132, 0.781622
2.855422, 0.799032
2.861711, 0.816395
2.868001, 0.833708
2.874290, 0.850968
2.880579, 0.868173
2.886869, 0.885319
2.893158, 0.902405
2.899448, 0.919426
2.905737, 0.936382
2.912027, 0.953268
2.918316, 0.970082
2.924606, 0.986823
2.930895, 1.003486
2.937185, 1.020069
2.943474, 1.036570
2.949764, 1.052987
2.956053, 1.069315
2.962343, 1.085554
2.968632, 1.101700
2.974922, 1.117751
2.981211, 1.133704
2.987501, 1.149557
2.993790, 1.165307
3.000079, 1.180952
3.006369, 1.196489
3.012658, 1.211916
3.018948, 1.227230
3.025237, 1.242429
3.031527, 1.257511
3.037816, 1.272472
3.044106, 1.287312
3.050395, 1.302027
3.056685, 1.316615
3.062974, 1.331074
3.069264, 1.345401
3.075553, 1.359595
3.081843, 1.373653
3.088132, 1.387572
3.094422, 1.401351
3.100711, 1.414987
3.107001, 1.428479
3.113290, 1.441823
3.119579, 1.455019
3.125869, 1.468063
3.132158, 1.480955
3.138448, 1.493691
3.144737, 1.506270
3.151027, 1.518689
3.157316, 1.530948
3.163606, 1.543043
3.169895, 1.554973
3.176185, 1.566737
3.182474, 1.578331
3.188764, 1.589755
3.195053, 1.601007
3.201343, 1.612084
3.207632, 1.622986
3.213922, 1.633709
3.220211, 1.644253
3.226501, 1.654617
3.232790, 1.664797
3.239080, 1.674794
3.245369, 1.684604
3.251658, 1.694227
3.257948, 1.703661
3.264237, 1.712904
3.270527, 1.721956
3.276816, 1.730814
3.283106, 1.739478
3.289395, 1.747945
3.295685, 1.756215
3.301974, 1.764286
3.308264, 1.772157
3.314553, 1.779827
3.320843, 1.787294
3.327132, 1.794558
3.333422, 1.801617
3.339711, 1.808469
3.346001, 1.815115
3.352290, 1.821553
3.358580, 1.827782
3.364869, 1.833800
3.371158, 1.839608
3.377448, 1.845203
3.383737, 1.850586
3.390027, 1.855755
3.396316, 1.860709
3.402606, 1.865448
3.408895, 1.869971
3.415185, 1.874278
3.421474, 1.878366
3.427764, 1.882237
3.434053, 1.885889
3.440343, 1.889322
3.446632, 1.892535
3.452922, 1.895528
3.459211, 1.898299
3.465501, 1.900850
3.471790, 1.903179
3.478080, 1.905286
3.484369, 1.907170
3.490659, 1.908832
3.496948, 1.910271
3.503237, 1.911487
3.509527, 1.912479
3.515816, 1.913248
3.522106, 1.913794
3.528395, 1.914115
3.534685, 1.914213
3.540974, 1.914087
3.547264, 1.913738
3.553553, 1.913164
3.559843, 1.912367
3.566132, 1.911347
3.572422, 1.910103
3.578711, 1.908637
3.585001, 1.906947
3.591290, 1.905034
3.597580, 1.902900
3.603869, 1.900543
3.610159, 1.897965
3.616448, 1.895166
3.622737, 1.892145
3.629027, 1.888905
3.635316, 1.885445
3.641606, 1.881765
3.647895, 1.877867
3.654185, 1.873751
3.660474, 1.869418
3.666764, 1.864868
3.673053, 1.860102
3.679343, 1.855120
3.685632, 1.849925
3.691922, 1.844515
3.698211, 1.838893
3.704501, 1.833059
3.710790, 1.827014
3.717080, 1.820760
3.723369, 1.814296
3.729659, 1.807624
3.735948, 1.800746
3.742237, 1.793661
3.748527, 1.786372
3.754816, 1.778879
3.761106, 1.771184
3.767395, 1.763288
3.773685, 1.755192
3.779974, 1.746897
3.786264, 1.738405
3.792553, 1.729717
3.798843, 1.720835
3.805132, 1.711759
3.811422, 1.702492
3.817711, 1.693034
3.824001, 1.683388
3.830290, 1.673554
3.836580, 1.663535
3.842869, 1.653331
3.849159, 1.642945
3.855448, 1.632379
3.861738, 1.621633
3.868027, 1.610709
3.874316, 1.599610
3.880606, 1.588337
3.886895, 1.576891
3.893185, 1.565276
3.899474, 1.553491
3.905764, 1.541540
3.912053, 1.529424
3.918343, 1.517146
3.924632, 1.504706
3.930922, 1.492107
3.937211, 1.479352
3.943501, 1.466441
3.949790, 1.453378
3.956080, 1.440163
3.962369, 1.426800
3.968659, 1.413290
3.974948, 1.399636
3.981238, 1.385840
3.987527, 1.371903
3.993816, 1.357828
4.000106, 1.343618
4.006395, 1.329274
4.012685, 1.314799
4.018974, 1.300195
4.025264, 1.285464
4.031553, 1.270609
4.037843, 1.255632
4.044132, 1.240535
4.050422, 1.225322
4.056711, 1.209993
4.063001, 1.194553
4.069290, 1.179002
4.075580, 1.163344
4.081869, 1.147581
4.088159, 1.131715
4.094448, 1.115750
4.100738, 1.099687
4.107027, 1.083529
4.113317, 1.067279
4.119606, 1.050939
4.125895, 1.034512
4.132185, 1.018001
4.138474, 1.001407
4.144764, 0.984734
4.151053, 0.967985
4.157343, 0.951161
4.163632, 0.934266
4.169922, 0.917302
4.176211, 0.900272
4.182501, 0.883179
4.188790, 0.866025
4.195080, 0.848814
4.201369, 0.831547
4.207659, 0.814228
4.213948, 0.796859
4.220238, 0.779442
4.226527, 0.761982
4.232817, 0.744481
4.239106, 0.726940
4.245395, 0.709364
4.251685, 0.691755
4.257974, 0.674115
4.264264, 0.656448
4.270553, 0.638755
4.276843, 0.621041
4.283132, 0.603308
4.289422, 0.585559
4.295711, 0.567796
4.302001, 0.550022
4.308290, 0.532240
4.314580, 0.514454
4.320869, 0.496665
4.327159, 0.478876
4.333448, 0.461091
4.339738, 0.443312
4.346027, 0.425542
4.352317, 0.407783
4.358606, 0.390040
4.364895, 0.372313
4.371185, 0.354607
4.377474, 0.336924
4.383764, 0.319267
4.390053, 0.301638
4.396343, 0.284041
4.402632, 0.266478
4.408922, 0.248952
4.415211, 0.231465
4.421501, 0.214021
4.427790, 0.196622
4.434080, 0.179272
4.440369, 0.161972
4.446659, 0.144725
4.452948, 0.127535
4.459238, 0.110404
4.465527, 0.093334
4.471817, 0.076329
4.478106, 0.059390
4.484396, 0.042522
4.490685, 0.025726
4.496974, 0.009004
4.503264, -0.007639
4.509553, -0.024202
4.515843, -0.040682
4.522132, -0.057077
4.528422, -0.073384
4.534711, -0.089599
4.541001, -0.105722
4.547290, -0.121749
4.553580, -0.137677
4.559869, -0.153504
4.566159, -0.169228
4.572448, -0.184846
4.578738, -0.200356
4.585027, -0.215755
4.591317, -0.231041
4.597606, -0.246211
4.603896, -0.261262
4.610185, -0.276194
4.616474, -0.291003
4.622764, -0.305686
4.629053, -0.320242
4.635343, -0.334668
4.641632, -0.348962
4.647922, -0.363122
4.654211, -0.377145
4.660501, -0.391030
4.666790, -0.404773
4.673080, -0.418374
4.679369, -0.431829
4.685659, -0.445136
4.691948, -0.458294
4.698238, -0.471301
4.704527, -0.484153
4.710817, -0.496850
4.717106, -0.509390
4.723396, -0.521769
4.729685, -0.533987
4.735975, -0.546041
4.742264, -0.557930
4.748553, -0.569651
4.754843, -0.581203
4.761132, -0.592584
4.767422, -0.603793
4.773711, -0.614826
4.780001, -0.625683
4.786290, -0.636362
4.792580, -0.646861
4.798869, -0.657179
4.805159, -0.667314
4.811448, -0.677264
4.817738, -0.687027
4.824027, -0.696603
4.830317, -0.705990
4.836606, -0.715185
4.842896, -0.724189
4.849185, -0.732998
4.855475, -0.741613
4.861764, -0.750031
4.868053, -0.758251
4.874343, -0.766273
4.880632, -0.774093
4.886922, -0.781713
4.893211, -0.789129
4.899501, -0.796342
4.905790, -0.803349
4.912080, -0.810150
4.918369, -0.816744
4.924659, -0.823130
4.930948, -0.829306
4.937238, -0.835272
4.943527, -0.841026
4.949817, -0.846569
4.956106, -0.851898
4.962396, -0.857013
4.968685, -0.861914
4.974975, -0.866599
4.981264, -0.871068
4.987554, -0.875320
4.993843, -0.879355
5.000132, -0.883171
5.006422, -0.886768
5.012711, -0.890146
5.019001, -0.893304
5.025290, -0.896241
5.031580, -0.898958
5.037869, -0.901453
5.044159, -0.903726
5.050448, -0.905778
5.056738, -0.907607
5.063027, -0.909213
5.069317, -0.910596
5.075606, -0.911756
5.081896, -0.912692
5.088185, -0.913406
5.094475, -0.913895
5.100764, -0.914161
5.107054, -0.914203
5.113343, -0.914021
5.119632, -0.913615
5.125922, -0.912986
5.132211, -0.912133
5.138501, -0.911057
5.144790, -0.909758
5.151080, -0.908235
5.157369, -0.906490
5.163659, -0.904522
5.169948, -0.902331
5.176238, -0.899919
5.182527, -0.897286
5.188817, -0.894431
5.195106, -0.891356
5.201396, -0.888060
5.207685, -0.884545
5.213975, -0.880811
5.220264, -0.876859
5.226554, -0.872688
5.232843, -0.868300
5.239132, -0.863696
5.245422, -0.858876
5.251711, -0.853841
5.258001, -0.848592
5.264290, -0.843130
5.270580, -0.837455
5.276869, -0.831568
5.283159, -0.825470
5.289448, -0.819163
5.295738, -0.812647
5.302027, -0.805924
5.308317, -0.798994
5.314606, -0.791858
5.320896, -0.784518
5.327185, -0.776974
5.333475, -0.769229
5.339764, -0.761283
5.346054, -0.753137
5.352343, -0.744793
5.358633, -0.736252
5.364922, -0.727515
5.371211, -0.718584
5.377501, -0.709460
5.383790, -0.700145
5.390080, -0.690640
5.396369, -0.680947
5.402659, -0.671067
5.408948, -0.661001
5.415238, -0.650752
5.421527, -0.640321
5.427817, -0.629709
5.434106, -0.618918
5.440396, -0.607951
5.446685, -0.596808
5.452975, -0.585491
5.459264, -0.574003
5.465554, -0.562345
5.471843, -0.550519
5.478133, -0.538527
5.484422, -0.526370
5.490711, -0.514051
5.497001, -0.501571
5.503290, -0.488933
5.509580, -0.476139
5.515869, -0.463190
5.522159, -0.450088
5.528448, -0.436836
5.534738, -0.423436
5.541027, -0.409890
5.547317, -0.396200
5.553606, -0.382368
5.559896, -0.368397
5.566185, -0.354288
5.572475, -0.340044
5.578764, -0.325667
5.585054, -0.311160
5.591343, -0.296524
5.597633, -0.281762
5.603922, -0.266876
5.610212, -0.251869
5.616501, -0.236743
5.622790, -0.221500
5.629080, -0.206144
5.635369, -0.190675
5.641659, -0.175098
5.647948, -0.159413
5.654238, -0.143624
5.660527, -0.127733
5.666817, -0.111743
5.673106, -0.095656
5.679396, -0.079475
5.685685, -0.063203
5.691975, -0.046841
5.698264, -0.030392
5.704554, -0.013860
5.710843, 0.002754
5.717133, 0.019446
5.723422, 0.036215
5.729712, 0.053056
5.736001, 0.069969
5.742290, 0.086949
5.748580, 0.103995
5.754869, 0.121104
5.761159, 0.138272
5.767448, 0.155498
5.773738, 0.172778
5.780027, 0.190110
5.786317, 0.207491
5.792606, 0.224919
5.798896, 0.242389
5.805185, 0.259901
5.811475, 0.277451
5.817764, 0.295035
5.824054, 0.312653
5.830343, 0.330300
5.836633, 0.347973
5.842922, 0.365671
5.849212, 0.383390
5.855501, 0.401128
5.861790, 0.418881
5.868080, 0.436647
5.874369, 0.454423
5.880659, 0.472206
5.886948, 0.489994
5.893238, 0.507783
5.899527, 0.525571
5.905817, 0.543355
5.912106, 0.561132
5.918396, 0.578899
5.924685, 0.596654
5.930975, 0.614394
5.937264, 0.632115
5.943554, 0.649816
5.949843, 0.667493
5.956133, 0.685143
5.962422, 0.702764
5.968712, 0.720353
5.975001, 0.737907
5.981291, 0.755424
5.987580, 0.772900
5.993869, 0.790333
6.000159, 0.807720
6.006448, 0.825058
6.012738, 0.842345
6.019027, 0.859578
6.025317, 0.876753
6.031606, 0.893870
6.037896, 0.910923
6.044185, 0.927912
6.050475, 0.944833
6.056764, 0.961684
6.063054, 0.978462
6.069343, 0.995164
6.075633, 1.011788
6.081922, 1.028330
6.088212, 1.044789
6.094501, 1.061162
6.100791, 1.077446
6.107080, 1.093639
6.113369, 1.109738
6.119659, 1.125740
6.125948, 1.141643
6.132238, 1.157445
6.138527, 1.173143
6.144817, 1.188734
6.151106, 1.204216
6.157396, 1.219587
6.163685, 1.234844
6.169975, 1.249985
6.176264, 1.265007
6.182554, 1.279908
6.188843, 1.294685
6.195133, 1.309337
6.201422, 1.323861
6.207712, 1.338254
6.214001, 1.352515
6.220291, 1.366641
6.226580, 1.380630
6.232870, 1.394479
6.239159, 1.408187
6.245448, 1.421751
6.251738, 1.435169
6.258027, 1.448440
6.264317, 1.461560
6.270606, 1.474528
6.276896, 1.487342
6.283185, 1.500000
